Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,symmetric,0.36615423892244425
100% Corpus,9,0.61,0.01,0.39283637541410377
100% Corpus,9,0.61,0.31,0.37958821674463916
100% Corpus,9,0.61,0.61,0.39343939221225144
100% Corpus,9,0.61,0.9099999999999999,0.45284514875293763
100% Corpus,9,0.61,symmetric,0.3865339008194783
100% Corpus,9,0.9099999999999999,0.01,0.3950618088960398
100% Corpus,9,0.9099999999999999,0.31,0.4163417032874875
100% Corpus,9,0.9099999999999999,0.61,0.4340747424549671
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4492567633063092
100% Corpus,9,0.9099999999999999,symmetric,0.40058488296357264
100% Corpus,9,symmetric,0.01,0.38926445945345756
100% Corpus,9,symmetric,0.31,0.3967991976395189
100% Corpus,9,symmetric,0.61,0.3994200789505368
100% Corpus,9,symmetric,0.9099999999999999,0.40752340620195304
100% Corpus,9,symmetric,symmetric,0.39650497260597506
100% Corpus,9,asymmetric,0.01,0.3897987375492176
100% Corpus,9,asymmetric,0.31,0.4142756018202898
100% Corpus,9,asymmetric,0.61,0.4062643866505358
100% Corpus,9,asymmetric,0.9099999999999999,0.37940352913100567
100% Corpus,9,asymmetric,symmetric,0.4191507205499281
100% Corpus,10,0.01,0.01,0.36509895542028054
100% Corpus,10,0.01,0.31,0.39290457453416205
100% Corpus,10,0.01,0.61,0.40507738102276897
100% Corpus,10,0.01,0.9099999999999999,0.37398030542129607
100% Corpus,10,0.01,symmetric,0.3776179385401234
100% Corpus,10,0.31,0.01,0.3893616922375013
100% Corpus,10,0.31,0.31,0.3712698712713806
100% Corpus,10,0.31,0.61,0.35928848229281396
100% Corpus,10,0.31,0.9099999999999999,0.3538632392295819
100% Corpus,10,0.31,symmetric,0.3918763169352165
100% Corpus,10,0.61,0.01,0.37791556511140173
100% Corpus,10,0.61,0.31,0.4153163362032532
100% Corpus,10,0.61,0.61,0.4303707280277158
100% Corpus,10,0.61,0.9099999999999999,0.4693854835371165
100% Corpus,10,0.61,symmetric,0.3841686079999297
100% Corpus,10,0.9099999999999999,0.01,0.3733204299276632
100% Corpus,10,0.9099999999999999,0.31,0.4596782515115012
100% Corpus,10,0.9099999999999999,0.61,0.4130165465429377
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.4836088776032857
100% Corpus,10,0.9099999999999999,symmetric,0.38883930451073706
100% Corpus,10,symmetric,0.01,0.3673148679698714
100% Corpus,10,symmetric,0.31,0.3915956138899419
100% Corpus,10,symmetric,0.61,0.4099049265031904
100% Corpus,10,symmetric,0.9099999999999999,0.3826235682854416
100% Corpus,10,symmetric,symmetric,0.3670718100874704
100% Corpus,10,asymmetric,0.01,0.38776224872700127
100% Corpus,10,asymmetric,0.31,0.39058778380505477
100% Corpus,10,asymmetric,0.61,0.39934591443770906
100% Corpus,10,asymmetric,0.9099999999999999,0.41276423689186376
100% Corpus,10,asymmetric,symmetric,0.40273410734501464
