Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.9099999999999999,symmetric,0.35862883860132616
75% Corpus,6,symmetric,0.01,0.3599044561844742
75% Corpus,6,symmetric,0.31,0.3595029256999274
75% Corpus,6,symmetric,0.61,0.34773186617605195
75% Corpus,6,symmetric,0.9099999999999999,0.35288294270331977
75% Corpus,6,symmetric,symmetric,0.35834004490038235
75% Corpus,6,asymmetric,0.01,0.33820217144266307
75% Corpus,6,asymmetric,0.31,0.3413738446110492
75% Corpus,6,asymmetric,0.61,0.34293240419653453
75% Corpus,6,asymmetric,0.9099999999999999,0.3486721812986618
75% Corpus,6,asymmetric,symmetric,0.34185356082486673
75% Corpus,7,0.01,0.01,0.4044779199057575
75% Corpus,7,0.01,0.31,0.4003298183356399
75% Corpus,7,0.01,0.61,0.4052571055367398
75% Corpus,7,0.01,0.9099999999999999,0.4262625979271766
75% Corpus,7,0.01,symmetric,0.4146845791150877
75% Corpus,7,0.31,0.01,0.3819118435384202
75% Corpus,7,0.31,0.31,0.3702726634517145
75% Corpus,7,0.31,0.61,0.377533352855997
75% Corpus,7,0.31,0.9099999999999999,0.39390798446614994
75% Corpus,7,0.31,symmetric,0.3844881118884259
75% Corpus,7,0.61,0.01,0.37348769431297607
75% Corpus,7,0.61,0.31,0.3821546488566413
75% Corpus,7,0.61,0.61,0.36376802685358867
75% Corpus,7,0.61,0.9099999999999999,0.3580914606339553
75% Corpus,7,0.61,symmetric,0.3724978042839323
75% Corpus,7,0.9099999999999999,0.01,0.362941310279879
75% Corpus,7,0.9099999999999999,0.31,0.37185119853676046
75% Corpus,7,0.9099999999999999,0.61,0.38509914210981294
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3862877959605208
75% Corpus,7,0.9099999999999999,symmetric,0.36832074474190035
75% Corpus,7,symmetric,0.01,0.37880458379302523
75% Corpus,7,symmetric,0.31,0.411241587580696
75% Corpus,7,symmetric,0.61,0.3941488106992103
75% Corpus,7,symmetric,0.9099999999999999,0.403649300368893
75% Corpus,7,symmetric,symmetric,0.4087935538972544
75% Corpus,7,asymmetric,0.01,0.3634985592289232
75% Corpus,7,asymmetric,0.31,0.3696649096741064
75% Corpus,7,asymmetric,0.61,0.3475399377926666
75% Corpus,7,asymmetric,0.9099999999999999,0.3309564039602436
75% Corpus,7,asymmetric,symmetric,0.38185512614678424
75% Corpus,8,0.01,0.01,0.3945281993190798
75% Corpus,8,0.01,0.31,0.40080735654280125
75% Corpus,8,0.01,0.61,0.40489347673290976
75% Corpus,8,0.01,0.9099999999999999,0.37371096756371525
75% Corpus,8,0.01,symmetric,0.3959915228423153
75% Corpus,8,0.31,0.01,0.3989136540767211
75% Corpus,8,0.31,0.31,0.3913093451832238
75% Corpus,8,0.31,0.61,0.3814222246639096
75% Corpus,8,0.31,0.9099999999999999,0.41600240234583985
75% Corpus,8,0.31,symmetric,0.3918921269326158
75% Corpus,8,0.61,0.01,0.4036898669151335
75% Corpus,8,0.61,0.31,0.4103437699510552
75% Corpus,8,0.61,0.61,0.40979735591488864
75% Corpus,8,0.61,0.9099999999999999,0.4292217750027317
75% Corpus,8,0.61,symmetric,0.39463279695129366
75% Corpus,8,0.9099999999999999,0.01,0.3879799255102587
75% Corpus,8,0.9099999999999999,0.31,0.40880036969805955
75% Corpus,8,0.9099999999999999,0.61,0.4233095979082375
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.44085922682482737
75% Corpus,8,0.9099999999999999,symmetric,0.39790970898775513
75% Corpus,8,symmetric,0.01,0.3880715825135096
75% Corpus,8,symmetric,0.31,0.3909518458454762
75% Corpus,8,symmetric,0.61,0.39446349208390574
75% Corpus,8,symmetric,0.9099999999999999,0.3906185405810549
75% Corpus,8,symmetric,symmetric,0.3961779081154426
75% Corpus,8,asymmetric,0.01,0.34476121328510684
75% Corpus,8,asymmetric,0.31,0.37957926677089115
75% Corpus,8,asymmetric,0.61,0.44616375347670467
75% Corpus,8,asymmetric,0.9099999999999999,0.46098224558986206
75% Corpus,8,asymmetric,symmetric,0.36841162745563183
75% Corpus,9,0.01,0.01,0.37221463919437275
75% Corpus,9,0.01,0.31,0.3948454942833457
75% Corpus,9,0.01,0.61,0.3876570788595067
75% Corpus,9,0.01,0.9099999999999999,0.3844154537449651
75% Corpus,9,0.01,symmetric,0.3698538521836382
75% Corpus,9,0.31,0.01,0.3845364956430377
75% Corpus,9,0.31,0.31,0.3691859593278785
75% Corpus,9,0.31,0.61,0.42326558102388184
75% Corpus,9,0.31,0.9099999999999999,0.4262668724068873
75% Corpus,9,0.31,symmetric,0.3510405311979432
75% Corpus,9,0.61,0.01,0.38421619323865686
75% Corpus,9,0.61,0.31,0.3782893828821618
75% Corpus,9,0.61,0.61,0.38635991939026826
75% Corpus,9,0.61,0.9099999999999999,0.4731262912572078
75% Corpus,9,0.61,symmetric,0.366570866957238
75% Corpus,9,0.9099999999999999,0.01,0.36988046999162555
75% Corpus,9,0.9099999999999999,0.31,0.3993958754423735
